Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,19,64527,0000001,Los Angeles,El Rancho Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,2,9.5%,2,9.5%,20,2,10.0%,2,10.0%,Y
2016-2017,19,64527,0133835,Los Angeles,El Rancho Unified,Ellen Ochoa Prep Academy,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,71,43,60.6%,55,77.5%,71,43,60.6%,55,77.5%,Y
2016-2017,19,64527,1932698,Los Angeles,El Rancho Unified,Ruben Salazar Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,189,111,58.7%,118,62.4%,158,97,61.4%,101,63.9%,Y
2016-2017,19,64527,1932706,Los Angeles,El Rancho Unified,El Rancho High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2508,1437,57.3%,1786,71.2%,2418,1391,57.5%,1732,71.6%,Y
2016-2017,19,64527,6013304,Los Angeles,El Rancho Unified,Birney Tech Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,473,284,60.0%,367,77.6%,452,275,60.8%,351,77.7%,Y
2016-2017,19,64527,6013312,Los Angeles,El Rancho Unified,Durfee Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,408,252,61.8%,296,72.5%,387,238,61.5%,279,72.1%,Y
2016-2017,19,64527,6013338,Los Angeles,El Rancho Unified,Magee Academy of Arts & Sciences,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,447,305,68.2%,356,79.6%,432,296,68.5%,344,79.6%,Y
2016-2017,19,64527,6013353,Los Angeles,El Rancho Unified,North Ranchito Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,457,316,69.1%,369,80.7%,441,306,69.4%,359,81.4%,Y
2016-2017,19,64527,6013379,Los Angeles,El Rancho Unified,Rio Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,445,277,62.2%,348,78.2%,429,267,62.2%,336,78.3%,Y
2016-2017,19,64527,6013387,Los Angeles,El Rancho Unified,Rivera Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,646,384,59.4%,483,74.8%,628,371,59.1%,469,74.7%,Y
2016-2017,19,64527,6013403,Los Angeles,El Rancho Unified,South Ranchito Dual Language Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,539,366,67.9%,402,74.6%,527,356,67.6%,392,74.4%,Y
2016-2017,19,64527,6013411,Los Angeles,El Rancho Unified,Valencia Academy of the Arts,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,437,284,65.0%,342,78.3%,422,274,64.9%,330,78.2%,Y
2016-2017,19,64527,6057681,Los Angeles,El Rancho Unified,STEAM Academy @ Burke,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,615,344,55.9%,429,69.8%,615,344,55.9%,429,69.8%,Y
2016-2017,19,64527,6061287,Los Angeles,El Rancho Unified,North Park Academy of the Arts,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,701,434,61.9%,505,72.0%,701,434,61.9%,505,72.0%,Y
2016-2017,19,64527,6061295,Los Angeles,El Rancho Unified,Rivera Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,771,468,60.7%,555,72.0%,771,468,60.7%,555,72.0%,Y
2016-2017,19,64535,1930353,Los Angeles,El Segundo Unified,Arena High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,38,4,10.5%,7,18.4%,35,3,8.6%,5,14.3%,Y
2016-2017,19,64535,1932763,Los Angeles,El Segundo Unified,El Segundo High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1191,107,9.0%,145,12.2%,1162,105,9.0%,142,12.2%,Y
2016-2017,19,64535,6013429,Los Angeles,El Segundo Unified,Center Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,791,70,8.8%,106,13.4%,773,68,8.8%,104,13.5%,Y
2016-2017,19,64535,6013452,Los Angeles,El Segundo Unified,El Segundo Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,821,88,10.7%,110,13.4%,821,88,10.7%,110,13.4%,Y
2016-2017,19,64535,6116248,Los Angeles,El Segundo Unified,Richmond Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,628,61,9.7%,67,10.7%,617,61,9.9%,67,10.9%,Y
2016-2017,19,64550,0000001,Los Angeles,Garvey Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,5,55.6%,6,66.7%,9,5,55.6%,6,66.7%,Y
2016-2017,19,64550,6013510,Los Angeles,Garvey Elementary,Dewey Avenue Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,6,383,279,72.8%,324,84.6%,373,272,72.9%,315,84.5%,Y
2016-2017,19,64550,6013528,Los Angeles,Garvey Elementary,Rice (Eldridge) Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,6,464,315,67.9%,385,83.0%,464,315,67.9%,385,83.0%,Y
2016-2017,19,64550,6013536,Los Angeles,Garvey Elementary,Sanchez (George I.) Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,6,443,344,77.7%,395,89.2%,442,344,77.8%,394,89.1%,Y
2016-2017,19,64550,6013544,Los Angeles,Garvey Elementary,Willard (Frances E.) Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,6,412,300,72.8%,353,85.7%,403,295,73.2%,348,86.4%,Y
2016-2017,19,64550,6013551,Los Angeles,Garvey Elementary,Hillcrest Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,6,401,218,54.4%,263,65.6%,392,214,54.6%,259,66.1%,Y
2016-2017,19,64550,6013585,Los Angeles,Garvey Elementary,Monterey Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,6,479,307,64.1%,366,76.4%,479,307,64.1%,366,76.4%,Y
2016-2017,19,64550,6013593,Los Angeles,Garvey Elementary,Emerson (Ralph Waldo) Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,6,526,392,74.5%,462,87.8%,513,384,74.9%,451,87.9%,Y
2016-2017,19,64550,6013601,Los Angeles,Garvey Elementary,Garvey (Richard) Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,7,8,708,438,61.9%,535,75.6%,708,438,61.9%,535,75.6%,Y
2016-2017,19,64550,6101497,Los Angeles,Garvey Elementary,Temple (Roger W.) Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,7,8,464,346,74.6%,401,86.4%,464,346,74.6%,401,86.4%,Y
2016-2017,19,64550,6105886,Los Angeles,Garvey Elementary,Bitely (Arlene) Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,6,516,414,80.2%,462,89.5%,516,414,80.2%,462,89.5%,Y
2016-2017,19,64568,0000001,Los Angeles,Glendale Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61,4,6.6%,4,6.6%,58,4,6.9%,4,6.9%,Y
2016-2017,19,64568,1932144,Los Angeles,Glendale Unified,Crescenta Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2660,349,13.1%,464,17.4%,2594,337,13.0%,452,17.4%,Y
2016-2017,19,64568,1933472,Los Angeles,Glendale Unified,Daily (Allan F.) High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,207,123,59.4%,148,71.5%,172,99,57.6%,123,71.5%,Y
2016-2017,19,64568,1933530,Los Angeles,Glendale Unified,Glendale High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2307,1313,56.9%,1561,67.7%,2241,1272,56.8%,1515,67.6%,Y
2016-2017,19,64568,1934082,Los Angeles,Glendale Unified,Herbert Hoover High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1637,804,49.1%,1034,63.2%,1593,779,48.9%,1006,63.2%,Y
2016-2017,19,64568,1995497,Los Angeles,Glendale Unified,Verdugo Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,114,24,21.1%,27,23.7%,113,24,21.2%,27,23.9%,Y
2016-2017,19,64568,1996131,Los Angeles,Glendale Unified,Anderson W. Clark Magnet High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1105,423,38.3%,573,51.9%,1098,419,38.2%,569,51.8%,Y
2016-2017,19,64568,1996156,Los Angeles,Glendale Unified,Jewel City Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,7,10,2,2,100.0%,2,100.0%,2,2,100.0%,2,100.0%,Y
2016-2017,19,64568,6013619,Los Angeles,Glendale Unified,Balboa Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,809,357,44.1%,430,53.2%,792,350,44.2%,421,53.2%,Y
2016-2017,19,64568,6013627,Los Angeles,Glendale Unified,Cerritos Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,400,294,73.5%,339,84.8%,385,284,73.8%,326,84.7%,Y
2016-2017,19,64568,6013635,Los Angeles,Glendale Unified,Columbus Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,610,367,60.2%,459,75.2%,570,340,59.6%,428,75.1%,Y
2016-2017,19,64568,6013643,Los Angeles,Glendale Unified,Dunsmore Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,507,53,10.5%,76,15.0%,507,53,10.5%,76,15.0%,Y
2016-2017,19,64568,6013650,Los Angeles,Glendale Unified,Thomas Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,910,463,50.9%,576,63.3%,910,463,50.9%,576,63.3%,Y
2016-2017,19,64568,6013676,Los Angeles,Glendale Unified,Benjamin Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,646,77,11.9%,101,15.6%,646,77,11.9%,101,15.6%,Y
2016-2017,19,64568,6013684,Los Angeles,Glendale Unified,John C. Fremont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,670,82,12.2%,123,18.4%,670,82,12.2%,123,18.4%,Y
2016-2017,19,64568,6013692,Los Angeles,Glendale Unified,Glenoaks Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,580,155,26.7%,194,33.4%,565,152,26.9%,189,33.5%,Y
2016-2017,19,64568,6013718,Los Angeles,Glendale Unified,Thomas Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,660,402,60.9%,502,76.1%,660,402,60.9%,502,76.1%,Y
2016-2017,19,64568,6013726,Los Angeles,Glendale Unified,Mark Keppel Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,1048,260,24.8%,381,36.4%,1048,260,24.8%,381,36.4%,Y
2016-2017,19,64568,6013734,Los Angeles,Glendale Unified,La Crescenta Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,472,103,21.8%,141,29.9%,456,103,22.6%,140,30.7%,Y
2016-2017,19,64568,6013742,Los Angeles,Glendale Unified,Abraham Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,481,93,19.3%,129,26.8%,480,93,19.4%,129,26.9%,Y
2016-2017,19,64568,6013767,Los Angeles,Glendale Unified,Horace Mann Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,650,516,79.4%,590,90.8%,634,504,79.5%,577,91.0%,Y
2016-2017,19,64568,6013775,Los Angeles,Glendale Unified,John Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,490,346,70.6%,397,81.0%,465,334,71.8%,383,82.4%,Y
2016-2017,19,64568,6013783,Los Angeles,Glendale Unified,Monte Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,799,62,7.8%,91,11.4%,799,62,7.8%,91,11.4%,Y
2016-2017,19,64568,6013809,Los Angeles,Glendale Unified,Mountain Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,558,72,12.9%,87,15.6%,542,70,12.9%,85,15.7%,Y
2016-2017,19,64568,6013817,Los Angeles,Glendale Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,904,561,62.1%,668,73.9%,891,557,62.5%,661,74.2%,Y
2016-2017,19,64568,6013825,Los Angeles,Glendale Unified,Valley View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,417,53,12.7%,67,16.1%,398,48,12.1%,59,14.8%,Y
2016-2017,19,64568,6013833,Los Angeles,Glendale Unified,Verdugo Woodlands Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,822,155,18.9%,201,24.5%,822,155,18.9%,201,24.5%,Y
2016-2017,19,64568,6013841,Los Angeles,Glendale Unified,R. D. White Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,909,477,52.5%,574,63.1%,909,477,52.5%,574,63.1%,Y
2016-2017,19,64568,6057715,Los Angeles,Glendale Unified,Theodore Roosevelt Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,775,545,70.3%,630,81.3%,775,545,70.3%,630,81.3%,Y
2016-2017,19,64568,6057723,Los Angeles,Glendale Unified,Eleanor J. Toll Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1243,598,48.1%,768,61.8%,1243,598,48.1%,768,61.8%,Y
2016-2017,19,64568,6061303,Los Angeles,Glendale Unified,Rosemont Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1312,218,16.6%,284,21.6%,1312,218,16.6%,284,21.6%,Y
2016-2017,19,64568,6061311,Los Angeles,Glendale Unified,Woodrow Wilson Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1189,601,50.5%,718,60.4%,1189,601,50.5%,718,60.4%,Y
2016-2017,19,64568,6099022,Los Angeles,Glendale Unified,College View,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,12,121,32,26.4%,40,33.1%,43,16,37.2%,18,41.9%,Y
2016-2017,19,64576,0000001,Los Angeles,Glendora Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19,3,15.8%,3,15.8%,18,3,16.7%,3,16.7%,Y
2016-2017,19,64576,1933597,Los Angeles,Glendora Unified,Glendora High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2570,417,16.2%,558,21.7%,2483,405,16.3%,541,21.8%,Y
2016-2017,19,64576,1939677,Los Angeles,Glendora Unified,Whitcomb Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,51,21,41.2%,25,49.0%,45,17,37.8%,21,46.7%,Y
2016-2017,19,64576,6013866,Los Angeles,Glendora Unified,Cullen Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,660,94,14.2%,131,19.8%,643,93,14.5%,130,20.2%,Y
2016-2017,19,64576,6013882,Los Angeles,Glendora Unified,La Fetra Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,709,161,22.7%,208,29.3%,694,156,22.5%,203,29.3%,Y
2016-2017,19,64576,6013908,Los Angeles,Glendora Unified,Sellers Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,602,71,11.8%,89,14.8%,602,71,11.8%,89,14.8%,Y
2016-2017,19,64576,6013916,Los Angeles,Glendora Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,554,252,45.5%,315,56.9%,542,247,45.6%,310,57.2%,Y
2016-2017,19,64576,6013924,Los Angeles,Glendora Unified,Sutherland Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,541,84,15.5%,126,23.3%,527,83,15.7%,123,23.3%,Y
2016-2017,19,64576,6057731,Los Angeles,Glendora Unified,Goddard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,962,115,12.0%,148,15.4%,962,115,12.0%,148,15.4%,Y
2016-2017,19,64576,6061329,Los Angeles,Glendora Unified,Sandburg Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,870,263,30.2%,349,40.1%,870,263,30.2%,349,40.1%,Y
2016-2017,19,64584,1996305,Los Angeles,Gorman Elementary,Gorman Learning Center,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,0285,Directly funded,Y,K,12,2400,589,24.5%,833,34.7%,2352,575,24.4%,815,34.7%,Y
2016-2017,19,64584,6013940,Los Angeles,Gorman Elementary,Gorman Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,91,34,37.4%,57,62.6%,90,34,37.8%,57,63.3%,Y
2016-2017,19,64592,0000001,Los Angeles,Hawthorne,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,3,33.3%,3,33.3%,9,3,33.3%,3,33.3%,Y
2016-2017,19,64592,0100354,Los Angeles,Hawthorne,Hawthorne Math and Science Academy,Elementary School District,High Schools (Public),Traditional,Breakfast Provision 2,Yes,0523,Locally funded,N,9,12,568,348,61.3%,434,76.4%,563,344,61.1%,430,76.4%,Y
2016-2017,19,64592,6013957,Los Angeles,Hawthorne,Eucalyptus,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,1002,816,81.4%,906,90.4%,986,801,81.2%,890,90.3%,Y
2016-2017,19,64592,6013965,Los Angeles,Hawthorne,Hawthorne Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,6,8,919,648,70.5%,749,81.5%,919,648,70.5%,749,81.5%,Y
2016-2017,19,64592,6013973,Los Angeles,Hawthorne,Jefferson,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,556,430,77.3%,479,86.2%,546,423,77.5%,470,86.1%,Y
2016-2017,19,64592,6013981,Los Angeles,Hawthorne,Ramona,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,772,469,60.8%,560,72.5%,756,459,60.7%,547,72.4%,Y
2016-2017,19,64592,6013999,Los Angeles,Hawthorne,Washington,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,650,525,80.8%,566,87.1%,633,512,80.9%,553,87.4%,Y
2016-2017,19,64592,6014013,Los Angeles,Hawthorne,York,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,615,484,78.7%,542,88.1%,599,472,78.8%,528,88.1%,Y
2016-2017,19,64592,6014021,Los Angeles,Hawthorne,Bud Carson Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,6,8,724,565,78.0%,623,86.0%,724,565,78.0%,623,86.0%,Y
2016-2017,19,64592,6014039,Los Angeles,Hawthorne,Zela Davis,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,1190,946,79.5%,1037,87.1%,1171,930,79.4%,1018,86.9%,Y
2016-2017,19,64592,6115265,Los Angeles,Hawthorne,Prairie Vista Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,6,8,896,691,77.1%,755,84.3%,896,691,77.1%,755,84.3%,Y
2016-2017,19,64592,6117246,Los Angeles,Hawthorne,Kornblum,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,672,540,80.4%,596,88.7%,654,530,81.0%,581,88.8%,Y
2016-2017,19,64600,6014047,Los Angeles,Hermosa Beach City Elementary,Hermosa View Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,556,11,2.0%,11,2.0%,543,11,2.0%,11,2.0%,Y
2016-2017,19,64600,6095434,Los Angeles,Hermosa Beach City Elementary,Hermosa Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,4,8,822,26,3.2%,26,3.2%,822,26,3.2%,26,3.2%,Y
2016-2017,19,64626,6014427,Los Angeles,Hughes-Elizabeth Lakes Union Elementary,Hughes-Elizabeth Lakes,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,202,41,20.3%,41,20.3%,197,41,20.8%,41,20.8%,Y
2016-2017,19,64634,0000001,Los Angeles,Inglewood Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102,10,9.8%,10,9.8%,100,10,10.0%,10,10.0%,Y
